binomial,mass.g,bmr.ml.O2.h
Arborimus longicaudus,21.8,58.9
Arvicola terrestris,92,106.7
Auliscomys micropus,62.3,97.8
Baiomys taylori,7.15,17.1
Calomys ducilla?,16,28.8
Calomys musculinus,16.9,27.6
Calomys venustus,50.1,74.7
Cannomys badius,344,172
Chelemys macronyx,62,84.3
Chionomys nivalis,32.8,81
Chroeomys anadinus,34.6,64.7
Chroeomys olivaceus,27,49.4
Cleithrionomys glareolus,23.4,63.4
Cleithrionomys rufocanus,27,59.4
Cleithrionomys rutilus,28,77
Clethrionomys californicus,18.3,61.1
Clethrionomys gapperi,22.3,49.3
Conilurus penicillatus,213.2,162.7
Cricetomys gambianus,1870,1140.7
Cricetulus migratorius,30.7,43.9
Cricetus cricetus,362,231.7
Desmodillus auricularis,71.93,87.8
Dicrostonyx groenlandicus,59.62,98.8
Eligmodontia typus,17.5,29.9
Euneomys chinchilloides,65.4,84.4
Gerbillurus paeba,33.9,34.8
Gerbillurus setzeri,46.1,37
Gerbillurus tytonis,29.9,31.7
Gerbillurus vallinus,38.8,34.8
Gerbillus allenybi,35.3,38.8
Gerbillus dasyurus,27.6,29.3
Gerbillus gerbillus,29.7,42.5
Gerbillus nanus,28.4,22.2
Gerbillus perpallidus,52.4,43.5
Gerbillus pusillus,12.6,13.5
Gerbillus pyramidum,108.5,81.4
Graomys griseoflavus,69.4,84
Hydromys chrysogaster,900,528.3
Isthmomys pirrensis,137.9,121.4
Lagurus curtatus,30.3,50.3
Lemmus lemmus,80,192
Lemmus sibericus,50.2,90.2
Lemniscomys griselda,47.5,57.6
Lemniscomys rosalia,50.53,61.5
Malacothrix typica,21.7,20.6
Maresomys boliviensis,76.8,110.6
Mastomys natalensis,41.5,32.8
Megadontomys thomasi,110.8,124.1
Meriones hurriane,69,54.5
Meriones tristrami,112,98.6
Meriones unguiculatus,67,77.1
Mesocricetus auratus,98,147
Micromys minutus,7.37,21.1
Microtus agrestis,28,63.6
Microtus arvalis,20,62
Microtus brandti,40.2,76.8
Microtus breweri,53.1,73.8
Microtus californicus,44,68.2
Microtus guentheri,43.8,80.2
Microtus longicaudus,28.6,67.5
Microtus mexicanus,28.8,46.9
Microtus montanus,35.1,83.3
Microtus ochrogaster,46.7,79.1
Microtus oeconomus,33.7,100.9
Microtus pennsylvanicus,38.9,75.1
Microtus pinetorum,25.5,58.4
Microtus richardsoni,65.65,128
Microtus subterraneus,17.8,49.5
Microtus townsendii,52.2,90.4
Microtus xanthognathus,68.5,98.6
Millardia meltada,67.4,58.6
Mus minutoides,8.06,24
Mus spretus,21.8,61.9
Myopus schisticolor,26.4,93.5
Mystromys albicaudatus,93.78,126.8
Nannospalax ehrenbergi 2n = 52,138,118.7
Nannospalax ehrenbergi 2n = 54,134,101.8
Nannospalax ehrenbergi 2n = 58,135,114.8
Nannospalax ehrenbergi 2n = 60,134,82.8
Nannospalax leucodon,201,148.7
Neofiber alleni,258.1,216.8
Neotoma albigula,183,134.5
Neotoma cinerea,205.1,168.6
Neotoma fuscipes,187,147.7
Neotoma lepida,110,86.9
Notomys alexis,32.3,45.2
Notomys cervinus,34.2,41.7
Ochrotomys nuttalli,19.5,27.1
Oligoryzomys longicaudatus,28.2,51
Ondatra zibethicus,1004.6,642.9
Onychomys torridus,19.1,29.6
Otomys irroratus,102,84.9
Otomys sloggetti,113.29,133.7
Otomys unisulcatus,96,106.6
Oxymycterus roberti,83.5,91
Parotomys brantsii,86.5,83.9
Peromyscus boylii,23.2,54.3
Peromyscus californicus,47.6,52.4
Peromyscus c. insignis,45.5,45.5
Peromyscus c. parasiticus,49.6,58
Peromyscus crinitus,15.9,25.1
Peromyscus eremicus,21.5,33.1
Peromyscus gossypinus,21.5,37
Peromyscus leucopus,20,33.2
Peromyscus l. noveboracensis,26,57.2
