Binomial.1.2,mass.g,fmr.kJ.day,FMR.source,FMR.link,FMR.comment
Bos_primigenius,557000,49153.42466,Brosh.2002,http://www.sciencedirect.com/science/article/pii/S0301622602000337,Energy balance data of six cows during a 1-year reproductive cycle devided by 365 days
Bos_primigenius,539000,55920.54795,Brosh.2002,http://www.sciencedirect.com/science/article/pii/S0301622602000337,Energy balance data of six cows during a 1-year reproductive cycle devided by 365 days
Bos_primigenius,546000,56780.82192,Brosh.2002,http://www.sciencedirect.com/science/article/pii/S0301622602000337,Energy balance data of six cows during a 1-year reproductive cycle devided by 365 days
Bos_primigenius,716000,61252.05479,Brosh.2002,http://www.sciencedirect.com/science/article/pii/S0301622602000337,Energy balance data of six cows during a 1-year reproductive cycle devided by 365 days
Bos_primigenius,594000,53819.17808,Brosh.2002,http://www.sciencedirect.com/science/article/pii/S0301622602000337,Energy balance data of six cows during a 1-year reproductive cycle devided by 365 days
Bos_primigenius,265358.2642,39267.09472,Aharoni.2009,https://dl.sciencesocieties.org/publications/jas/articles/87/8/2719,Mean of several individuals here of a Baladi breed for spring and summer
Bos_primigenius,575839.5807,60869.35747,Aharoni.2009,https://dl.sciencesocieties.org/publications/jas/articles/87/8/2719,Mean of several individuals here of a Beefmaster × Simford crossbred for spring and summer
Ursus_maritimus,153550,34994.045,Pagano.2018,http://www.sciencemag.org/lookup/doi/10.1126/science.aan8677,Mean BM between start and finish
Ursus_maritimus,167800,38023.48,Pagano.2018,http://www.sciencemag.org/lookup/doi/10.1126/science.aan8677,Mean BM between start and finish
Ursus_maritimus,184400,67047.84,Pagano.2018,http://www.sciencemag.org/lookup/doi/10.1126/science.aan8677,Mean BM between start and finish
Ursus_maritimus,164000,40622.8,Pagano.2018,http://www.sciencemag.org/lookup/doi/10.1126/science.aan8677,Mean BM between start and finish
Ursus_maritimus,189150,54872.415,Pagano.2018,http://www.sciencemag.org/lookup/doi/10.1126/science.aan8677,Mean BM between start and finish
Ursus_maritimus,171250,46922.5,Pagano.2018,http://www.sciencemag.org/lookup/doi/10.1126/science.aan8677,Mean BM between start and finish
Ursus_maritimus,133600,28603.76,Pagano.2018,http://www.sciencemag.org/lookup/doi/10.1126/science.aan8677,Mean BM between start and finish
Ursus_maritimus,209100,84079.11,Pagano.2018,http://www.sciencemag.org/lookup/doi/10.1126/science.aan8677,Mean BM between start and finish
Ursus_maritimus,205250,69251.35,Pagano.2018,http://www.sciencemag.org/lookup/doi/10.1126/science.aan8677,Mean BM between start and finish
Macropus_rufus,26200,4788,Munn.2013,https://link.springer.com/article/10.1007/s00360-013-0741-8,Mean of 6 wild kangaroos.
