Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.bmr.mean,sd.bmr,log10.bmr.lower.95hpd,log10.bmr.upper.95hpd,log10.fmr.mean,sd.fmr,log10.fmr.lower.95hpd,log10.fmr.upper.95hpd,bmr.geo.mean,bmr.lower.95hpd,bmr.upper.95hpd,fmr.geo.mean,fmr.lower.95hpd,fmr.upper.95hpd
Pseudohydromys_berniceae,Rodentia,Muridae,1.3384564936046048,1.1419743,0.07899273971164934,0.9934,1.3007,1.6760188666666667,0.07961304455303303,1.5205,1.8278,13.866737680311575,9.849178309808167,19.98480891022053,47.42625877780686,33.151256981184304,67.26668104310994
Pseudohydromys_ellermani,Rodentia,Muridae,1.3521825181113625,1.1522261666666667,0.07812147101394949,1.0108,1.3109,1.6856389333333333,0.07887595647406621,1.5416,1.8464,14.197967138868478,10.251797048255572,20.45973479679299,48.488520541583696,34.8016632215004,70.21016602403145
Pseudohydromys_fuscus,Rodentia,Muridae,1.2741578492636798,1.0946518666666667,0.07770039283597291,0.9432,1.246,1.631652,0.07833591267359308,1.4908,1.7976,12.435174003543253,8.774047879567535,17.619760464116293,42.82052621788723,30.959932133091723,62.7480161997852
Pseudohydromys_germani,Rodentia,Muridae,1.334453751150931,1.1386342,0.07837997867682235,0.9786,1.2825,1.6728614,0.07919621600966857,1.5155,1.8261,13.760499535430135,9.519190103322854,19.164610627353863,47.082704347833875,32.7717776805172,67.00388738077562
Pseudohydromys_murinus,Rodentia,Muridae,1.2253092817258628,1.0589286,0.07856205365271059,0.9068,1.21,1.5981732333333334,0.07934579605748639,1.4458,1.7554,11.453246293566162,8.06863370363819,16.218100973589298,39.64361349472661,27.91258123343473,56.937710510942345
Pseudohydromys_musseri,Rodentia,Muridae,0.8692317197309762,0.8008197333333333,0.0811150747747552,0.6475,0.9657,1.356433,0.0819102850436499,1.197,1.5222,6.321494047545555,4.4411966136558885,9.240596356376807,22.721290796041476,15.739828644662197,33.28127839596525
Pseudohydromys_occidentalis,Rodentia,Muridae,1.3404441148401183,1.1438562666666667,0.07790089728191837,0.9979,1.3018,1.6778084,0.0786188563744891,1.5286,1.8372,13.92695802524863,9.951762431696444,20.0354914640076,47.62208435784731,33.775361033186904,68.7384919590323
Pseudohydromys_patriciae,Rodentia,Muridae,1.3364597338485296,1.1418684666666667,0.0787036472281382,0.9908,1.2981,1.6760052,0.07927246146892657,1.5222,1.8285,13.863358903165135,9.790390174480514,19.865522852667752,47.424766360337316,33.28127839596525,67.37518954705828
Pseudohydromys_sandrae,Rodentia,Muridae,1.3384564936046048,1.1438099666666666,0.07869417450929551,0.9963,1.3048,1.6778547,0.07917564940727055,1.5185,1.8268,13.925473355715102,9.91516623805052,20.174370856119243,47.627161604125604,32.99894079108348,67.1119719698421
Pseudois_nayaur,Cetartiodactyla,Bovidae,4.653212513775344,3.661581733333333,0.059750006589327644,3.5392,3.7738,4.0432492,0.06108947651388288,3.9262,4.1667,4587.559746107289,3460.9872548535277,5940.185399703674,11047.123266514272,8437.232172118302,14679.119297026846
Pseudomys_albocinereus,Rodentia,Muridae,1.4842998393467859,1.2426872333333334,0.046688232821988834,1.1489,1.3325,1.7700268333333333,0.047501484471342746,1.6749,1.8621,17.4858695194066,14.089643350406387,21.503046793402564,58.88800387932867,47.30423243999551,72.79474013242678
Pseudomys_apodemoides,Rodentia,Muridae,1.3010299956639813,1.105932,0.04790082635740126,1.0164,1.2036,1.6416963,0.04888167723288247,1.5414,1.7321,12.762389650469157,10.38484455008274,15.980854594730916,43.8224142608769,34.78564015304239,53.963486373006866
Pseudomys_australis,Rodentia,Muridae,1.8129133566428555,1.4752878,0.054507944648799704,1.3659,1.5806,1.9875202666666667,0.0555808508354159,1.8763,2.092,29.87361639843153,23.222020280147255,38.07150103801774,97.16732943574296,75.214227608716,123.59474334445108
Pseudomys_bolami,Rodentia,Muridae,1.1903316981702914,1.0172214333333334,0.050391751773755905,0.9173,1.1103,1.558075,0.05173104814435948,1.4567,1.6577,10.404505241753801,8.266087535038562,12.891397503856075,36.147228130128184,28.62200149051194,45.46738740611351
