Binomial.1.2,Order.1.2,Family.1.2,Binomial.Source,BM,BMR,log10BM,log10BMR,Source,Comment
Neomys_fodiens,Eulipotyphla,Soricidae,Neomys_fodiens,17.1,54.7,1.2329961103921538,1.421093001973832,WhiteSeymore.2003,NA
Notiosorex_crawfordi,Eulipotyphla,Soricidae,Notiosorex_crawfordi,4,13.2,0.6020599913279624,0.803679606846251,WhiteSeymore.2003,NA
Sorex_alpinus,Eulipotyphla,Soricidae,Sorex_alpinus,7.9,48.2,0.8976270912904415,1.3661527138792506,WhiteSeymore.2003,NA
Sorex_araneus,Eulipotyphla,Soricidae,Sorex_araneus,8.05,60.2,0.9057958803678685,1.4627021668982256,WhiteSeymore.2003,NA
Sorex_cinereus,Eulipotyphla,Soricidae,Sorex_cinereus,3.5,31.5,0.5440680443502757,1.1814162294300017,WhiteSeymore.2003,NA
Sorex_coronatus,Eulipotyphla,Soricidae,Sorex_coronatus,9.1,51.9,0.9590413923210935,1.398273033488859,WhiteSeymore.2003,NA
Sorex_minutus,Eulipotyphla,Soricidae,Sorex_minutus,4,30.8,0.6020599913279624,1.1716563921408454,WhiteSeymore.2003,NA
Sorex_ornatus,Eulipotyphla,Soricidae,Sorex_ornatus,9.7,52.3,0.9867717342662449,1.4016073645076754,WhiteSeymore.2003,NA
Sorex_vagrans,Eulipotyphla,Soricidae,Sorex_vagrans,5.2,28.1,0.7160033436347992,1.131811995545481,WhiteSeymore.2003,NA
Suncus_etruscus,Eulipotyphla,Soricidae,Suncus_etruscus,2.4,14.4,0.38021124171160603,0.8414681677356507,WhiteSeymore.2003,NA
Suncus_murinus,Eulipotyphla,Soricidae,Suncus_murinus,30.2,59.5,1.4800069429571505,1.4576226413689506,WhiteSeymore.2003,NA
Condylura_cristata,Eulipotyphla,Talpidae,Condylura_cristata,49,110.3,1.6901960800285136,1.7256811880805916,WhiteSeymore.2003,NA
Neurotrichus_gibbsii,Eulipotyphla,Talpidae,Neurotrichus_gibbsii,11.8,46.5,1.0718820073061255,1.350558628530355,WhiteSeymore.2003,NA
Scalopus_aquaticus,Eulipotyphla,Talpidae,Scalopus_aquaticus,48,67.7,1.6812412373755872,1.5136943443255453,WhiteSeymore.2003,NA
Scapanus_latimanus,Eulipotyphla,Talpidae,Scapanus_latimanus,61,76.2,1.7853298350107671,1.5650606469800017,WhiteSeymore.2003,NA
Scapanus_orarius,Eulipotyphla,Talpidae,Scapanus_orarius,61.2,64.1,1.7867514221455612,1.4899637051592185,WhiteSeymore.2003,NA
Scapanus_townsendii,Eulipotyphla,Talpidae,Scapanus_townsendii,130.1,108.9,2.1142772965615864,1.720133555396176,WhiteSeymore.2003,NA
Echinops_telfairi,Afrosoricida,Tenrecidae,Echinops_telfari,116.4,133.9,2.06595298031387,1.8098862526524102,WhiteSeymore.2003,NA
Geogale_aurita,Afrosoricida,Tenrecidae,Geogale_aurita,6.9,7.7,0.8388490907372553,0.569596400812883,WhiteSeymore.2003,NA
Hemicentetes_nigriceps,Afrosoricida,Tenrecidae,Hemicentetes_nigriceps,101.9,72.5,2.0081741840064264,1.5434436822113948,WhiteSeymore.2003,NA
Hemicentetes_semispinosus,Afrosoricida,Tenrecidae,Hemicentetes_semispinosus,133,64.1,2.123851640967086,1.4899637051592185,WhiteSeymore.2003,NA
Limnogale_mergulus,Afrosoricida,Tenrecidae,Limnogale_mergulus,77.7,55.9,1.8904210188009143,1.4305174835268244,WhiteSeymore.2003,NA
Microgale_cowani,Afrosoricida,Tenrecidae,Microgale_cowani,12.2,32,1.0863598306747482,1.188255653960307,WhiteSeymore.2003,NA
Microgale_dobsoni,Afrosoricida,Tenrecidae,Microgale_dobsoni,44.6,56.4,1.649334858712142,1.4343847796237434,WhiteSeymore.2003,NA
Microgale_talazaci,Afrosoricida,Tenrecidae,Microgale_talazaci,44,43.6,1.6434526764861874,1.3225921649089871,WhiteSeymore.2003,NA
Setifer_setosus,Afrosoricida,Tenrecidae,Setifer_setosus,530,121.9,2.724275869600789,1.769109381258783,WhiteSeymore.2003,NA
Tenrec_ecaudatus,Afrosoricida,Tenrecidae,Tenrec_ecaudatus,650,130.7,2.8129133566428557,1.7993812632209454,WhiteSeymore.2003,NA
Lepus_alleni,Lagomorpha,Leporidae,Lepus_alleni,3000,1650,3.4771212547196626,2.9005896198543075,WhiteSeymore.2003,NA
Lepus_americanus,Lagomorpha,Leporidae,Lepus_americanus,1581,1518,3.198931869932209,2.8643774471998626,WhiteSeymore.2003,NA
Lepus_arcticus,Lagomorpha,Leporidae,Lepus_arcticus,3004.4,1082,3.4777577533081705,2.7173329364109517,WhiteSeymore.2003,NA
Lepus_californicus,Lagomorpha,Leporidae,Lepus_californicus,2300,1311,3.361727836017593,2.8007083673304853,WhiteSeymore.2003,NA
Lepus_timidus,Lagomorpha,Leporidae,Lepus_timidus,3025,2118,3.4807253789884878,3.0090316314118675,WhiteSeymore.2003,NA
Lepus_townsendii,Lagomorpha,Leporidae,Lepus_townsendii,2430,1264,3.385606273598312,2.784852749586767,WhiteSeymore.2003,NA
Oryctolagus_cuniculus,Lagomorpha,Leporidae,Oryctolagus_cuniculus,2000,1140,3.3010299956639813,2.7400105269768735,WhiteSeymore.2003,NA
Sylvilagus_audubonii,Lagomorpha,Leporidae,Sylvilagus_audubonii,672.4,438,2.8276277047674334,2.3245797861445006,WhiteSeymore.2003,NA
Ochotona_princeps,Lagomorpha,Ochotonidae,Ochotona_princeps,109,167,2.037426497940624,1.9058221467879843,WhiteSeymore.2003,NA
Ochotona_dauurica,Lagomorpha,Ochotonidae,Ochotona_dauurica,127.7,249,2.1061908972634154,2.0793050227361376,WhiteSeymore.2003,NA
Elephantulus_brachyrhynchus,Macroscelidea,Macroscelididae,Elephantulus_brachyrhynchus,45.3,43.7,1.6560982020128319,1.323587112610823,WhiteSeymore.2003,NA
Elephantulus_edwardii,Macroscelidea,Macroscelididae,Elephantulus_edwardii,50,54.5,1.6989700043360187,1.4195021779170436,WhiteSeymore.2003,NA
Elephantulus_intufi,Macroscelidea,Macroscelididae,Elephantulus_intufi,46.49,52,1.667359546183087,1.3991090192752003,WhiteSeymore.2003,NA
Elephantulus_myurus,Macroscelidea,Macroscelididae,Elephantulus_myurus,62.97,66.3,1.799133693302063,1.5046192040451742,WhiteSeymore.2003,NA
Elephantulus_rozeti,Macroscelidea,Macroscelididae,Elephantulus_rozeti,45.31,47.8,1.6561940621791857,1.3625335722525198,WhiteSeymore.2003,NA
Elephantulus_rufescens,Macroscelidea,Macroscelididae,Elephantulus_rufescens,53,56.9,1.724275869600789,1.4382179420354722,WhiteSeymore.2003,NA
Macroscelides_proboscideus,Macroscelidea,Macroscelididae,Macroscelides_proboscideus,39,52.3,1.591064607026499,1.4016073645076754,WhiteSeymore.2003,NA
Petrodromus_tetradactylus,Macroscelidea,Macroscelididae,Petrodromus_tetradactylus,206.11,179.5,2.3140990632952843,1.9371701285547391,WhiteSeymore.2003,NA
Manis_crassicaudata,Pholidota,Manidae,Manis_crassicaudata,15910,1241,4.201670179646581,2.776877457139131,WhiteSeymore.2003,NA
Manis_javanica,Pholidota,Manidae,Manis_javanica,4220,1106,3.625312450961674,2.7268608026090804,WhiteSeymore.2003,NA
Phataginus_tetradactyla,Pholidota,Manidae,Manis_tetradactyla,1430,229,3.155336037465062,2.042941157980289,WhiteSeymore.2003,NA
Manis_pentadactyla,Pholidota,Manidae,Manis_pentadactyla,3637.5,668,3.5608030019939636,2.5078821381159466,WhiteSeymore.2003,NA
Phataginus_tricuspis,Pholidota,Manidae,Manis_tricuspis,1365,276,3.1351326513767748,2.124014757705619,WhiteSeymore.2003,NA
