Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10MR,MR,source
Lasiorhinus_krefftii,Diprotodontia,Vombatidae,4.469704225231061,3.651622985959478,FMR,Hudson.2013
Lasiorhinus_krefftii,Diprotodontia,Vombatidae,4.351999110608028,3.562735262470742,FMR,Hudson.2013
Lasiorhinus_latifrons,Diprotodontia,Vombatidae,4.363969044978839,3.8415975162276115,FMR,Hudson.2013
Lasiorhinus_latifrons,Diprotodontia,Vombatidae,4.366497668129632,3.612360478112082,FMR,Hudson.2013
Lasiorhinus_latifrons,Diprotodontia,Vombatidae,4.4305829410847,3.833078869386156,FMR,Hudson.2013
Vombatus_ursinus,Diprotodontia,Vombatidae,4.536394288637445,3.870129311598412,FMR,Hudson.2013
Vombatus_ursinus,Diprotodontia,Vombatidae,4.529090126459811,3.6093126132932594,FMR,Hudson.2013
Vombatus_ursinus,Diprotodontia,Vombatidae,4.546302007540369,3.2652094555279185,FMR,Hudson.2013
Vombatus_ursinus,Diprotodontia,Vombatidae,4.586280602497122,3.9421350965955506,FMR,Hudson.2013
Vombatus_ursinus,Diprotodontia,Vombatidae,4.453685194481271,3.691815015734726,FMR,Hudson.2013
Vombatus_ursinus,Diprotodontia,Vombatidae,4.521491131460435,4.040940783867622,FMR,Hudson.2013
Vombatus_ursinus,Diprotodontia,Vombatidae,4.411535532209327,3.955063996229401,FMR,Hudson.2013
Petauroides_volans,Diprotodontia,Pseudocheiridae,2.958085848521085,2.6765838792629144,FMR,Hudson.2013
Petauroides_volans,Diprotodontia,Pseudocheiridae,3.018076063645795,2.7438075541320446,FMR,Hudson.2013
Petauroides_volans,Diprotodontia,Pseudocheiridae,3.026328938722349,2.792461731346951,FMR,Hudson.2013
Vulpes_cana,Carnivora,Canidae,3,2.8260748027008264,FMR,Hudson.2013
Martes_americana,Carnivora,Mustelidae,2.8356905714924254,2.717670503002262,FMR,Hudson.2013
Martes_americana,Carnivora,Mustelidae,3.130333768495006,3.0863598306747484,FMR,Hudson.2013
Martes_americana,Carnivora,Mustelidae,2.8976270912904414,2.815577748324267,FMR,Hudson.2013
Martes_americana,Carnivora,Mustelidae,3.012837224705172,2.845098040014257,FMR,Hudson.2013
Martes_americana,Carnivora,Mustelidae,3.041392685158225,2.929418925714293,FMR,Hudson.2013
Martes_americana,Carnivora,Mustelidae,3.130333768495006,2.9590413923210934,FMR,Hudson.2013
Martes_americana,Carnivora,Mustelidae,2.843855422623161,2.8796692056320534,FMR,Hudson.2013
Martes_americana,Carnivora,Mustelidae,2.8739015978644615,2.9921114877869495,FMR,Hudson.2013
Rangifer_tarandus,Cetartiodactyla,Cervidae,4.7979596437371965,4.120902817614527,FMR,Hudson.2013
Rangifer_tarandus,Cetartiodactyla,Cervidae,4.8095597146352675,4.224274014294258,FMR,Hudson.2013
Rangifer_tarandus,Cetartiodactyla,Cervidae,4.746634198937579,4.254306332331286,FMR,Hudson.2013
Tachyglossus_aculeatus,Monotremata,Tachyglossidae,3.2600713879850747,2.763862071042256,FMR,Hudson.2013
Tachyglossus_aculeatus,Monotremata,Tachyglossidae,3.505149978319906,3.036628895362161,FMR,Hudson.2013
Tachyglossus_aculeatus,Monotremata,Tachyglossidae,3.5428254269591797,2.9884296302327775,FMR,Hudson.2013
Tachyglossus_aculeatus,Monotremata,Tachyglossidae,3.4653828514484184,2.918701191495456,FMR,Hudson.2013
Tachyglossus_aculeatus,Monotremata,Tachyglossidae,3.294466226161593,2.694139947642631,FMR,Hudson.2013
Tachyglossus_aculeatus,Monotremata,Tachyglossidae,3.6483600109809315,2.3473300153169503,FMR,Hudson.2013
Tachyglossus_aculeatus,Monotremata,Tachyglossidae,3.5998830720736876,2.324158941674477,FMR,Hudson.2013
Tachyglossus_aculeatus,Monotremata,Tachyglossidae,3.5415792439465807,2.8087509723495945,FMR,Hudson.2013
Tachyglossus_aculeatus,Monotremata,Tachyglossidae,3.640481436970422,2.819458384263591,FMR,Hudson.2013
Arvicola_amphibius,Rodentia,Cricetidae,1.912753303671323,2.143202225049597,FMR,Hudson.2013
Arvicola_amphibius,Rodentia,Cricetidae,1.7803173121401512,1.976216964549385,FMR,Hudson.2013
Arvicola_amphibius,Rodentia,Cricetidae,1.968482948553935,1.9284777868823513,FMR,Hudson.2013
Arvicola_amphibius,Rodentia,Cricetidae,1.9370161074648142,1.9647733121553677,FMR,Hudson.2013
Arvicola_amphibius,Rodentia,Cricetidae,1.9232440186302764,2.0831118657228433,FMR,Hudson.2013
Arvicola_amphibius,Rodentia,Cricetidae,1.9885589568786155,2.238001918321198,FMR,Hudson.2013
Arvicola_amphibius,Rodentia,Cricetidae,1.9148718175400503,2.2331438977516775,FMR,Hudson.2013
Arvicola_amphibius,Rodentia,Cricetidae,2.00987563371216,2.290681562105827,FMR,Hudson.2013
Arvicola_amphibius,Rodentia,Cricetidae,1.8981764834976766,2.204386991665438,FMR,Hudson.2013
Arvicola_amphibius,Rodentia,Cricetidae,1.8779469516291882,2.160569064507251,FMR,Hudson.2013
Cervus_elaphus,Cetartiodactyla,Cervidae,5.019116290447073,4.448551739201578,FMR,Hudson.2013
Cavia_magna,Rodentia,Caviidae,2.6074550232146687,2.687261346243506,FMR,Hudson.2013
Cavia_magna,Rodentia,Caviidae,2.66838591669,2.600755149639618,FMR,Hudson.2013
Cavia_magna,Rodentia,Caviidae,2.5854607295085006,2.471731651480051,FMR,Hudson.2013
Cavia_magna,Rodentia,Caviidae,2.558708570533166,2.639486489268586,FMR,Hudson.2013
Cavia_magna,Rodentia,Caviidae,2.6314437690131722,2.3939260065858368,FMR,Hudson.2013
Cavia_magna,Rodentia,Caviidae,2.649334858712142,2.4650852875574327,FMR,Hudson.2013
Cavia_magna,Rodentia,Caviidae,2.6127838567197355,2.445136968713304,FMR,Hudson.2013
Cavia_magna,Rodentia,Caviidae,2.6693168805661123,2.508664363052943,FMR,Hudson.2013
Cavia_magna,Rodentia,Caviidae,2.7371926427047373,2.7729814503449637,FMR,Hudson.2013
Cavia_magna,Rodentia,Caviidae,2.8369567370595505,2.7091002815511667,FMR,Hudson.2013
Cavia_magna,Rodentia,Caviidae,2.6138418218760693,2.5520595341878844,FMR,Hudson.2013
Cavia_magna,Rodentia,Caviidae,2.6020599913279625,2.510276844417355,FMR,Hudson.2013
Cavia_magna,Rodentia,Caviidae,2.5634810853944106,2.3705130895985924,FMR,Hudson.2013
Cavia_magna,Rodentia,Caviidae,2.8318697742805017,2.816241299991783,FMR,Hudson.2013
Cavia_magna,Rodentia,Caviidae,2.7403626894942437,2.658488381309017,FMR,Hudson.2013
Cavia_magna,Rodentia,Caviidae,2.6857417386022635,2.7663384752512874,FMR,Hudson.2013
Cavia_magna,Rodentia,Caviidae,2.792391689498254,2.7453871213200087,FMR,Hudson.2013
Cavia_magna,Rodentia,Caviidae,2.8318697742805017,2.9005855866499615,FMR,Hudson.2013
Cavia_magna,Rodentia,Caviidae,2.7693773260761385,2.7055216134226674,FMR,Hudson.2013
Cavia_magna,Rodentia,Caviidae,2.7481880270062002,2.6122539060964374,FMR,Hudson.2013
Petrogale_lateralis,Diprotodontia,Macropodidae,3.3434085938038574,2.785329835010767,FMR,Hudson.2013
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,4.017033339298781,3.256402900641054,FMR,Hudson.2013
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,4.004321373782642,3.310700074117765,FMR,Hudson.2013
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,4.066946789754697,3.3462110973981782,FMR,Hudson.2013
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,3.8939466075335933,3.4068204909077773,FMR,Hudson.2013
Alouatta_palliata,Primates,Atelidae,3.7958800173440754,3.4033350405587437,FMR,Hudson.2013
Alouatta_palliata,Primates,Atelidae,3.8260748027008264,3.283956699434819,FMR,Hudson.2013
Alouatta_palliata,Primates,Atelidae,3.505149978319906,3.04547945311078,FMR,Hudson.2013
Alouatta_palliata,Primates,Atelidae,3.9745116927373285,3.517337119696508,FMR,Hudson.2013
Alouatta_palliata,Primates,Atelidae,3.8692317197309762,3.389059713506695,FMR,Hudson.2013
Bradypus_variegatus,Pilosa,Bradypodidae,3.6013355632973787,2.767947021023438,FMR,Hudson.2013
Bradypus_variegatus,Pilosa,Bradypodidae,3.6249692708265058,2.6893532632422525,FMR,Hudson.2013
