Binomial.1.2,Order.1.2,Family.1.2,log10BMR,log10BM,BMR.source
Sorex_ornatus,Eulipotyphla,Soricidae,1.4016073645076754,0.9867717342662449,WhiteSeymore.2003
Sorex_vagrans,Eulipotyphla,Soricidae,1.1318119955454808,0.7160033436347992,WhiteSeymore.2003
Suncus_etruscus,Eulipotyphla,Soricidae,0.8414681677356508,0.38021124171160603,WhiteSeymore.2003
Suncus_murinus,Eulipotyphla,Soricidae,1.4576226413689506,1.4800069429571505,WhiteSeymore.2003
Condylura_cristata,Eulipotyphla,Talpidae,1.7256811880805916,1.6901960800285136,WhiteSeymore.2003
Neurotrichus_gibbsii,Eulipotyphla,Talpidae,1.350558628530355,1.0718820073061255,WhiteSeymore.2003
Scalopus_aquaticus,Eulipotyphla,Talpidae,1.5136943443255453,1.6812412373755872,WhiteSeymore.2003
Scapanus_latimanus,Eulipotyphla,Talpidae,1.5650606469800015,1.7853298350107671,WhiteSeymore.2003
Scapanus_orarius,Eulipotyphla,Talpidae,1.4899637051592185,1.7867514221455612,WhiteSeymore.2003
Scapanus_townsendii,Eulipotyphla,Talpidae,1.720133555396176,2.1142772965615864,WhiteSeymore.2003
Echinops_telfairi,Afrosoricida,Tenrecidae,1.8098862526524102,2.06595298031387,WhiteSeymore.2003
Geogale_aurita,Afrosoricida,Tenrecidae,0.569596400812883,0.8388490907372553,WhiteSeymore.2003
Hemicentetes_nigriceps,Afrosoricida,Tenrecidae,1.5434436822113948,2.0081741840064264,WhiteSeymore.2003
Hemicentetes_semispinosus,Afrosoricida,Tenrecidae,1.4899637051592185,2.123851640967086,WhiteSeymore.2003
Limnogale_mergulus,Afrosoricida,Tenrecidae,1.4305174835268244,1.8904210188009143,WhiteSeymore.2003
Microgale_cowani,Afrosoricida,Tenrecidae,1.188255653960307,1.0863598306747482,WhiteSeymore.2003
Microgale_dobsoni,Afrosoricida,Tenrecidae,1.4343847796237432,1.649334858712142,WhiteSeymore.2003
Microgale_talazaci,Afrosoricida,Tenrecidae,1.3225921649089871,1.6434526764861874,WhiteSeymore.2003
Setifer_setosus,Afrosoricida,Tenrecidae,1.769109381258783,2.724275869600789,WhiteSeymore.2003
Tenrec_ecaudatus,Afrosoricida,Tenrecidae,1.7993812632209452,2.8129133566428557,WhiteSeymore.2003
Lepus_alleni,Lagomorpha,Leporidae,2.9005896198543075,3.4771212547196626,WhiteSeymore.2003
Lepus_americanus,Lagomorpha,Leporidae,2.8643774471998626,3.198931869932209,WhiteSeymore.2003
Lepus_arcticus,Lagomorpha,Leporidae,2.7173329364109513,3.4777577533081705,WhiteSeymore.2003
Lepus_californicus,Lagomorpha,Leporidae,2.8007083673304853,3.361727836017593,WhiteSeymore.2003
Lepus_timidus,Lagomorpha,Leporidae,3.0090316314118675,3.4807253789884878,WhiteSeymore.2003
Lepus_townsendii,Lagomorpha,Leporidae,2.7848527495867677,3.385606273598312,WhiteSeymore.2003
Oryctolagus_cuniculus,Lagomorpha,Leporidae,2.7400105269768735,3.3010299956639813,WhiteSeymore.2003
Sylvilagus_audubonii,Lagomorpha,Leporidae,2.324579786144501,2.8276277047674334,WhiteSeymore.2003
Ochotona_princeps,Lagomorpha,Ochotonidae,1.9058221467879843,2.037426497940624,WhiteSeymore.2003
Ochotona_dauurica,Lagomorpha,Ochotonidae,2.0793050227361376,2.1061908972634154,WhiteSeymore.2003
