Binomial.1.2,Genus.1.2,Order.1.2,Family.1.2,Binomial.Source,BM,BMR,log10BM,log10BMR,Source,Accepted,Comment
Canis_lupus,Canis,Carnivora,Canidae,Canis_lupus,17000,2335.6053265535998,4.230448921378274,3.368399457027185,Genoud.2018,1,NA
Canis_mesomelas,Canis,Carnivora,Canidae,Canis_mesomelas,7720,1812.5647116288,3.887617300335736,3.258293520568062,Genoud.2018,1,NA
Lycalopex_culpaeus,Lycalopex,Carnivora,Canidae,Lycalopex_culpaeus,5418,980.7614111193599,3.7338390006971496,2.9915633698297053,Genoud.2018,1,NA
Lycaon_pictus,Lycaon,Carnivora,Canidae,Lycaon_pictus,8750,2320.044265678234,3.942008053022313,3.3654962711652083,Genoud.2018,0,NA
Cerdocyon_thous,Cerdocyon,Carnivora,Canidae,Cerdocyon_thous,5444,721.6996355796479,3.735918116531297,2.8583564860019606,Genoud.2018,1,NA
Nyctereutes_procyonoides,Nyctereutes,Carnivora,Canidae,Nyctereutes_procyonoides,7575,1291.7415960852477,3.8793826371743427,3.111175644759464,Genoud.2018,0,NA
Vulpes_rueppellii,Vulpes,Carnivora,Canidae,Vulpes_rueppellii,1546,385.12179471283196,3.189209489582306,2.585598096799005,Genoud.2018,1,NA
Vulpes_cana,Vulpes,Carnivora,Canidae,Vulpes_cana,1285,304.279480313856,3.1089031276673134,2.483272665841765,Genoud.2018,1,NA
Vulpes_zerda,Vulpes,Carnivora,Canidae,Vulpes_zerda,1106,190.89777282048001,3.0437551269686796,2.2808008615659134,Genoud.2018,1,NA
Vulpes_lagopus,Vulpes,Carnivora,Canidae,Vulpes_lagopus,3410,845.06009028864,3.5327543789924976,2.926887591734196,Genoud.2018,1,NA
Vulpes_lagopus,Vulpes,Carnivora,Canidae,Vulpes_lagopus,3970,824.0902591833601,3.598790506763115,2.9159747807730145,Genoud.2018,1,NA
Vulpes_macrotis,Vulpes,Carnivora,Canidae,Vulpes_macrotis,1769,519.858985377792,3.2477278329097232,2.7158855548316456,Genoud.2018,1,NA
Vulpes_vulpes,Vulpes,Carnivora,Canidae,Vulpes_vulpes,3060,723.57968940288,3.48572142648158,2.8594863678836715,Genoud.2018,1,NA
Vulpes_vulpes,Vulpes,Carnivora,Canidae,Vulpes_vulpes,1967,417.70939431552006,3.2938043599193367,2.620874242690337,Genoud.2018,1,NA
Fossa_fossana,Fossa,Carnivora,Eupleridae,Fossa_fossana,2260,436.895584614144,3.3541084391474008,2.640377655633344,Genoud.2018,1,NA
Acinonyx_jubatus,Acinonyx,Carnivora,Felidae,Acinonyx_jubatus,37900,4330.053193953024,4.578639209968072,3.6364932316185774,Genoud.2018,1,NA
Felis_silvestris,Felis,Carnivora,Felidae,Felis_catus,3000,635.84384431872,3.4771212547196626,2.8033504711867665,Genoud.2018,1,NA
Puma_concolor,Puma,Carnivora,Felidae,Puma_concolor,51350,6597.060659212801,4.710540447933297,3.8193504773865437,Genoud.2018,1,NA
Puma_concolor,Puma,Carnivora,Felidae,Puma_concolor,37200,4262.274843300097,4.570542939881897,3.6296414507935073,Genoud.2018,1,NA
Leopardus_pardalis,Leopardus,Carnivora,Felidae,Leopardus_pardalis,10500,1507.0800686077441,4.021189299069938,3.1781363262567526,Genoud.2018,1,NA
Leopardus_wiedii,Leopardus,Carnivora,Felidae,Leopardus_wiedii,3550,451.791395675136,3.550228353055094,2.6549379555653263,Genoud.2018,1,NA
Leptailurus_serval,Leptailurus,Carnivora,Felidae,Leptailurus_serval,10120,1513.6843602432002,4.00518051250378,3.180035323713616,Genoud.2018,1,NA
Lynx_rufus,Lynx,Carnivora,Felidae,Lynx_rufus,9400,2034.6038888033281,3.9731278535996988,3.308479870243423,Genoud.2018,1,NA
Panthera_leo,Panthera,Carnivora,Felidae,Panthera_leo,98000,8172.93141514752,4.991226075692495,3.9123778544616914,Genoud.2018,1,NA
Panthera_onca,Panthera,Carnivora,Felidae,Panthera_onca,69000,6186.82327368192,4.838849090737256,3.7914677105955725,Genoud.2018,1,NA
Panthera_tigris,Panthera,Carnivora,Felidae,Panthera_tigris,137900,11566.958837672446,5.139564266175849,4.063219190098851,Genoud.2018,1,NA
Herpailurus_yagouaroundi,Herpailurus,Carnivora,Felidae,Puma_yagouaroundi,8350,837.34704896256,3.921686475483602,2.9229054940875,Genoud.2018,1,NA
Herpestes_sanguineus,Herpestes,Carnivora,Herpestidae,Galerella_sanguinea,500,183.1847314944,2.6989700043360187,2.2628892722572114,Genoud.2018,1,NA
Suricata_suricatta,Suricata,Carnivora,Herpestidae,Suricata_suricatta,850,149.584795217664,2.929418925714293,2.174887451224567,Genoud.2018,1,NA
Hyaena_hyaena,Hyaena,Carnivora,Hyaenidae,Hyaena_hyaena,34300,2761.317001244928,4.535294120042771,3.441116266830755,Genoud.2018,1,NA
Proteles_cristata,Proteles,Carnivora,Hyaenidae,Proteles_cristata,7710,943.88343227904,3.8870543780509568,2.9749183631075202,Genoud.2018,1,NA
Proteles_cristata,Proteles,Carnivora,Hyaenidae,Proteles_cristata,8100,1057.6507918387201,3.90848501887865,3.0243422988790933,Genoud.2018,1,NA
Mephitis_mephitis,Mephitis,Carnivora,Mephitidae,Mephitis_mephitis,5667,726.7131124416001,3.753353212641496,2.86136299645259,Genoud.2018,1,NA
Spilogale_putorius,Spilogale,Carnivora,Mephitidae,Spilogale_putorius,624,128.13289902950402,2.795184589682424,2.107660652247114,Genoud.2018,1,NA
Eira_barbara,Eira,Carnivora,Mustelidae,Eira_barbara,2950,588.746085721344,3.469822015978163,2.769928032739463,Genoud.2018,1,NA
Enhydra_lutris,Enhydra,Carnivora,Mustelidae,Enhydra_lutris,18000,6247.5634741247995,4.2552725051033065,3.795710677174976,Genoud.2018,1,NA
Gulo_gulo,Gulo,Carnivora,Mustelidae,Gulo_gulo,12700,2478.2773084827645,4.103803720955957,3.3941499004281006,Genoud.2018,0,NA
Lutra_lutra,Lutra,Carnivora,Mustelidae,Lutra_lutra,10000,1908.9777282047996,4,3.2808008615659134,Genoud.2018,0,NA
Lutra_lutra,Lutra,Carnivora,Mustelidae,Lutra_lutra,7967,1850.4357445398525,3.9012948171655673,3.267274009033251,Genoud.2018,0,NA
Martes_americana,Martes,Carnivora,Mustelidae,Martes_americana,1038,290.63125368735746,3.016197353512439,2.463342315309953,Genoud.2018,0,NA
Martes_martes,Martes,Carnivora,Mustelidae,Martes_martes,920,312.2239128797184,2.963787827345555,2.4944661621280684,Genoud.2018,0,NA
Meles_meles,Meles,Carnivora,Mustelidae,Meles_meles,11050,1265.8643424362497,4.04336227802113,3.102387166591201,Genoud.2018,0,NA
Mustela_erminea,Mustela,Carnivora,Mustelidae,Mustela_erminea,161.5,162.45593293056,2.2081725266671217,2.21073557651174,Genoud.2018,1,NA
Mustela_eversmanii,Mustela,Carnivora,Mustelidae,Mustela_eversmanii,612,209.45727851136,2.7867514221455614,2.3210954564250863,Genoud.2018,1,NA
Mustela_frenata,Mustela,Carnivora,Mustelidae,Mustela_frenata,225,113.76735955968,2.3521825181113627,2.0560176786105075,Genoud.2018,1,NA
Mustela_nigripes,Mustela,Carnivora,Mustelidae,Mustela_nigripes,920,221.7499381248,2.963787827345555,2.345863507321975,Genoud.2018,1,NA
Mustela_nivalis,Mustela,Carnivora,Mustelidae,Mustela_nivalis,60.2,78.287369459712,1.7795964912578246,1.8936917005455576,Genoud.2018,1,NA
Mustela_nivalis,Mustela,Carnivora,Mustelidae,Mustela_nivalis,89.5,82.722368222208,1.951823035315912,1.9176229591530878,Genoud.2018,1,NA
Neovison_vison,Neovison,Carnivora,Mustelidae,Neovison_vison,704,248.408137208064,2.847572659142112,2.395165818101476,Genoud.2018,1,NA
Taxidea_taxus,Taxidea,Carnivora,Mustelidae,Taxidea_taxus,9000,1301.5757237760001,3.9542425094393248,3.1144694397993886,Genoud.2018,1,NA
Nandinia_binotata,Nandinia,Carnivora,Nandiniidae,Nandinia_binotata,4270,415.781133984,3.630427875025024,2.6188647793857127,Genoud.2018,1,NA
Callorhinus_ursinus,Callorhinus,Carnivora,Otariidae,Callorhinus_ursinus,32000,9205.939039949415,4.505149978319906,3.964068094748566,Genoud.2018,0,NA
Callorhinus_ursinus,Callorhinus,Carnivora,Otariidae,Callorhinus_ursinus,12400,2963.5818687197184,4.093421685162235,3.471816929092198,Genoud.2018,0,NA
Eumetopias_jubatus,Eumetopias,Carnivora,Otariidae,Eumetopias_jubatus,121800,18162.01410614047,5.085647288296856,4.259164008649797,Genoud.2018,0,NA
Eumetopias_jubatus,Eumetopias,Carnivora,Otariidae,Eumetopias_jubatus,171867,19709.13450053223,5.2351924962698115,4.294667553254786,Genoud.2018,0,NA
Eumetopias_jubatus,Eumetopias,Carnivora,Otariidae,Eumetopias_jubatus,132650,50254.050803627826,5.122707254318348,4.701171074465815,Genoud.2018,0,NA
Eumetopias_jubatus,Eumetopias,Carnivora,Otariidae,Eumetopias_jubatus,172000,32834.416925122554,5.235528446907549,4.516329308473463,Genoud.2018,0,NA
Zalophus_californianus,Zalophus,Carnivora,Otariidae,Zalophus_californianus,22500,3751.3533445588987,4.352182518111363,3.5741879728057024,Genoud.2018,0,NA
Zalophus_californianus,Zalophus,Carnivora,Otariidae,Zalophus_californianus,73000,13529.985702969754,4.863322860120456,4.131297337682278,Genoud.2018,0,NA
Zalophus_californianus,Zalophus,Carnivora,Otariidae,Zalophus_californianus,94660,15419.44943661957,4.976166500131975,4.18806886717105,Genoud.2018,0,NA
Halichoerus_grypus,Halichoerus,Carnivora,Phocidae,Halichoerus_grypus,190700,16296.692191841279,5.280350693046006,4.212099462771242,Genoud.2018,1,NA
Halichoerus_grypus,Halichoerus,Carnivora,Phocidae,Halichoerus_grypus,180000,19206.919097187845,5.2552725051033065,4.283457707058574,Genoud.2018,1,NA
Leptonychotes_weddellii,Leptonychotes,Carnivora,Phocidae,Leptonychotes_weddellii,388500,35958.19866218496,5.589391023136933,4.555797927480883,Genoud.2018,1,NA
