Binomial.1.2,Order.1.2,Family.1.2,Binomial.Source,BM,MR,log10BM,log10MR,MR.type,Source,Comment
Vulpes_cana,Carnivora,Canidae,Vulpes_cana,1000,670,3,2.8260748027008264,FMR,Hudson.2013,NA
Martes_americana,Carnivora,Mustelidae,Martes_americana,685,522,2.8356905714924254,2.717670503002262,FMR,Hudson.2013,NA
Martes_americana,Carnivora,Mustelidae,Martes_americana,1350,1220,3.130333768495006,3.0863598306747484,FMR,Hudson.2013,NA
Martes_americana,Carnivora,Mustelidae,Martes_americana,790,654,2.8976270912904414,2.815577748324267,FMR,Hudson.2013,NA
Martes_americana,Carnivora,Mustelidae,Martes_americana,1030,700,3.012837224705172,2.845098040014257,FMR,Hudson.2013,NA
Martes_americana,Carnivora,Mustelidae,Martes_americana,1100,850,3.041392685158225,2.929418925714293,FMR,Hudson.2013,NA
Martes_americana,Carnivora,Mustelidae,Martes_americana,1350,910,3.130333768495006,2.9590413923210934,FMR,Hudson.2013,NA
Martes_americana,Carnivora,Mustelidae,Martes_americana,698,758,2.843855422623161,2.8796692056320534,FMR,Hudson.2013,NA
Martes_americana,Carnivora,Mustelidae,Martes_americana,748,982,2.8739015978644615,2.9921114877869495,FMR,Hudson.2013,NA
Rangifer_tarandus,Cetartiodactyla,Cervidae,Rangifer_tarandus,62800,13210,4.7979596437371965,4.120902817614527,FMR,Hudson.2013,NA
Rangifer_tarandus,Cetartiodactyla,Cervidae,Rangifer_tarandus,64500,16760,4.8095597146352675,4.224274014294258,FMR,Hudson.2013,NA
Rangifer_tarandus,Cetartiodactyla,Cervidae,Rangifer_tarandus,55800,17960,4.746634198937579,4.254306332331286,FMR,Hudson.2013,NA
Tachyglossus_aculeatus,Monotremata,Tachyglossidae,Tachyglossus_aculeatus,1820,580.58,3.2600713879850747,2.763862071042256,FMR,Hudson.2013,NA
Tachyglossus_aculeatus,Monotremata,Tachyglossidae,Tachyglossus_aculeatus,3200,1088,3.505149978319906,3.036628895362161,FMR,Hudson.2013,NA
