Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.bmr.median,log10.bmr.mean,sd,log10.bmr.lower.95hpd,log10.bmr.upper.95hpd,log10.fmr.median,log10.fmr.mean,sd1,log10.fmr.lower.95hpd,log10.fmr.upper.95hpd,bmr.median,bmr.mean,bmr.lower.95hpd,bmr.upper.95hpd,fmr.median,fmr.mean,fmr.lower.95hpd,fmr.upper.95hpd
Phalanger_gymnotis,Diprotodontia,Phalangeridae,3.4321672694425884,2.5843292487001066,2.5850869581486315,0.10001641184417946,2.3900330551128164,2.781808257667156,2.9654720264962373,2.966327240798588,0.1007190418423133,2.769250913505816,3.1647585473072204,383.9982531333073,384.6687960050588,245.48957561158835,605.073673908439,923.5746977895809,925.3951963833019,587.8288723951566,1461.3644805171468
Phalanger_intercastellanus,Diprotodontia,Phalangeridae,3.242417184417719,2.4455408832293886,2.4456790783749747,0.10052239582200369,2.2553846110855273,2.646316248510421,2.8343766816667255,2.835498430547231,0.10103954207433996,2.647249941327187,3.042306606477463,278.95932482391066,279.0481055022691,180.04647003891,442.91077776552885,682.9307715995633,684.6970087296052,443.86401914153885,1102.3172571078987
Phalanger_lullulae,Diprotodontia,Phalangeridae,3.2128531899471113,2.4238558479803634,2.4245272423003104,0.1001252478211996,2.2351997977240265,2.6281562955753417,2.815212582944455,2.815683255607064,0.10060388253364831,2.62306936534375,3.0160105496171834,265.3724585430238,265.78302639436845,171.86988949004092,424.7724051757132,653.4503319880497,654.1589017317285,419.8260330851358,1037.5536191328185
Phalanger_matabiru,Diprotodontia,Phalangeridae,3.294289827100718,2.4821249902504308,2.48389330580698,0.10011136713263256,2.2865184159342764,2.6744111425566075,2.8694851088166606,2.871367367815996,0.10066334401512557,2.6790604608406623,3.0717094497402027,303.47644658221117,304.714629774332,193.42758784092888,472.5101505686484,740.4318789268677,743.6479204630643,477.59575811083425,1179.5312455257251
Phalanger_matanim,Diprotodontia,Phalangeridae,3.1903316981702914,2.4061208733851824,2.407983266343327,0.10125669605747137,2.2202941726622347,2.6174235469729448,2.7989257448517986,2.80015753186153,0.10167202100006781,2.605669542008781,3.0026004478039217,254.75391882282105,255.84873047804786,166.0711422026563,414.4036261676307,629.3985598480315,631.1862534769791,403.3383729242147,1006.0057147711287
Phalanger_mimicus,Diprotodontia,Phalangeridae,3.2671717284030137,2.463569514070202,2.463544255809577,0.10027253840000018,2.2691588821781057,2.662775925406886,2.8509297994838025,2.8522443939703357,0.10078785551980728,2.653664826420668,3.050412158548976,290.7833355999403,290.7664243380995,185.8484238119189,460.0191650766311,709.463079193545,711.6138530941635,450.46891390132123,1123.083789059868
Phalanger_orientalis,Diprotodontia,Phalangeridae,3.336219504572429,2.512615965641083,2.514461643509971,0.10012080831666213,2.3168470308372973,2.7103439953256028,2.8991568125017886,2.9000399613456427,0.10075595002710791,2.7006849092560343,3.0985591735317457,325.5487001534325,326.9351709449542,207.4182810744161,513.2677713957318,792.7875338753283,794.4013277219805,501.97826047480424,1254.7556892992252
Phalanger_ornatus,Diprotodontia,Phalangeridae,3.252246050473118,2.453441697964876,2.453659271843587,0.10018345606130101,2.2659352597923252,2.6556612527596295,2.842777689874968,2.843034236730306,0.10069033043461148,2.6563895923607324,3.051449034602528,284.08067941480454,284.2230344824886,184.4740403530251,452.5444600856261,696.2700106244112,696.6814334228895,453.30404282282984,1125.7683497903115
Phalanger_rothschildi,Diprotodontia,Phalangeridae,3.1351326513767748,2.3694712281572516,2.3673974166338065,0.10096743537653602,2.162975685434492,2.5530583800691673,2.7637918605376974,2.7620673672524623,0.10152036164025495,2.55886268344487,2.9527214336956784,234.13763547461207,233.02226355371732,145.53775970126244,357.3208678088277,580.4861477369876,578.185727944347,362.12848142470085,896.8533479442967
Phalanger_sericeus,Diprotodontia,Phalangeridae,3.3016809492935764,2.4887545353844036,2.48849459279731,0.10144807350402958,2.288094279478999,2.69118898895585,2.875659695096883,2.8756344839355616,0.10200799207139133,2.6752537690496685,3.081417446653826,308.1445815038962,307.9601998542562,194.1307263496272,491.12154765917865,751.0341672892118,750.9905703871817,473.4278137818856,1206.194785536285
