Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.bmr.median,log10.bmr.mean,sd.bmr,log10.bmr.lower.95hpd,log10.bmr.upper.95hpd,log10.fmr.median,log10.fmr.mean,sd.fmr,log10.fmr.lower.95hpd,log10.fmr.upper.95hpd,bmr.median,bmr.mean,bmr.lower.95hpd,bmr.upper.95hpd,fmr.median,fmr.mean,fmr.lower.95hpd,fmr.upper.95hpd
Gerbillus_pyramidum,Rodentia,Muridae,1.7160033436347992,1.346746625952898,1.3474757594746947,0.04387617961434643,1.2624482394426968,1.4336559139008105,1.8055178649807526,1.8060942147157215,0.04506261881301949,1.7191988092933537,1.8951546966405035,22.220131559403068,22.257468093263906,18.299879896944315,27.14287920256065,63.902502350989906,63.987363294915866,52.384018281142545,78.55153870749062
Gerbillus_rosalinda,Rodentia,Muridae,1.4409090820652177,1.1344403412467783,1.1348646365431878,0.052657293744768935,1.03044142732989,1.239789922239649,1.6056628422127444,1.6059453519245115,0.054009022644034836,1.498369178947568,1.7120613112248422,13.628257828488403,13.64157881572611,10.726089768549764,17.3696041967557,40.333215073143705,40.359460471895005,31.504252453578175,51.53013867659039
Gerbillus_rupicola,Rodentia,Muridae,1.568201724066995,1.2098032398485854,1.2097437758620242,0.06014115513621503,1.090502902177361,1.327363354449122,1.6748399115136197,1.675057907783843,0.06134011782187968,1.5632683460682375,1.8052724340783248,16.210754913771208,16.208535474743883,12.316942165181773,21.25021627447782,47.29768793340872,47.32143520209592,36.58207586574887,63.866399617263845
Gerbillus_simoni,Rodentia,Muridae,1.2405492482825997,0.9696300807863317,0.9701578322775245,0.060497461037515,0.85388812064731,1.092670351780447,1.4501540541616835,1.450315205078087,0.06197704977454167,1.3298034517722346,1.5736303433120935,9.324597207932973,9.335935278118574,7.143122871473871,12.378566433322675,28.193828533320804,28.20429218081225,21.36994733010371,37.465397377524255
Gerbillus_somalicus,Rodentia,Muridae,1.3463529744506386,1.0473790054080732,1.046835562751461,0.061074290456003065,0.9235009949137932,1.1631127330771025,1.5226366473900823,1.5221998382631317,0.062464479784256496,1.397366000137486,1.640974450612817,11.152673941849944,11.1387270727196,8.38495999508014,14.558369340545742,33.31475681179301,33.28126600159008,24.966979239261683,43.74963666482622
Gerbillus_stigmonyx,Rodentia,Muridae,1.3710678622717363,1.0650105596791528,1.065243192906815,0.06111869966180286,0.9442793201609664,1.1841423659403345,1.538890047801597,1.5394878399696499,0.06243020804964417,1.421139626313363,1.666432701774124,11.61476854295449,11.620991750950845,8.79588049424527,15.280668912815567,34.58518059546663,34.63281874548395,26.371791064997893,46.390889713956255
Gerbillus_tarabuli,Rodentia,Muridae,1.6283889300503116,1.2717818289419025,1.272256945704993,0.053696117189250415,1.164226719662662,1.3747497880875812,1.734489563208824,1.7348444899699043,0.05475397275622504,1.6234100819206034,1.836467935301807,18.697426253066606,18.717892370001042,14.595760204087332,23.700078696125278,54.26122113328303,54.30558419111083,42.01555279778317,68.62272112221797
Gerbillus_watersi,Rodentia,Muridae,1.0170333392987803,0.8110144366321259,0.8121026135394429,0.059224252859426535,0.6935788053324056,0.9276034564690512,1.301487048726555,1.3023856552193132,0.061109430524249,1.1806624866273376,1.4233707800031397,6.471641281452364,6.487877086681082,4.938315188041571,8.46454184842403,20.02105915079084,20.06252797009446,15.158718448254733,26.507622677543125
Giraffa_camelopardalis,Cetartiodactyla,Giraffidae,5.954240000175069,4.752212088931859,4.752245410213114,0.098882995919433,4.561830388105403,4.946394899445847,5.018636665018775,5.018864194328371,0.10013003171202621,4.820907838838551,5.210631071664228,56521.29307495015,56525.62984236104,36461.15216098899,88388.32409471173,104384.65616457294,104439.35819822532,66207.59903646377,162416.8456505722
Glaucomys_sabrinus,Rodentia,Sciuridae,2.220108088040055,1.8478589600527036,1.8488052787381737,0.08096436724543933,1.688088437231383,2.0071052438289336,2.2832042995504422,2.2845868909753086,0.08169785669024555,2.1270953146906058,2.4483811812793,70.4464252483304,70.60009391020733,48.762777771097376,101.64949931768564,191.95715275804477,192.56922872356253,133.99707387839183,280.7897054511542
Glaucomys_volans,Rodentia,Sciuridae,1.8055008581584002,1.5353856748049952,1.5351893440238018,0.06834758218029138,1.4074173658452171,1.6758702900304072,1.9894478764569699,1.9897534024135843,0.06949282456332623,1.8543487917466488,2.1257493234025757,34.307231635465975,34.291725927634936,25.551556797849333,47.410036538976776,97.59956374843952,97.66824915126831,71.5070384766104,133.58242506157924
Glauconycteris_alboguttata,Chiroptera,Vespertilionidae,0.9493900066449128,0.9268003454803408,0.9265711710377068,0.183987786751253,0.5664205346623551,1.2846408681626016,1.4211295242539363,1.419918576196042,0.1843004680973496,1.0398622388234948,1.7575244124443663,8.448903415927315,8.444446159336893,3.684856117701912,19.259316407555737,26.371177641818004,26.297749017020095,10.961304409269529,57.216911636454405
Glauconycteris_argentata,Chiroptera,Vespertilionidae,0.9590413923210935,0.9325775467098457,0.9327311884384126,0.18329201862888925,0.5716163677524583,1.2867409904724774,1.4268433433474987,1.4256413686312954,0.18363064884303185,1.0691833742491197,1.7828628389476502,8.562045801619332,8.565075359422577,3.7292059438192866,19.35267442698937,26.720423883063862,26.646573370214497,11.726904117439855,60.65447373469641
Glauconycteris_beatrix,Chiroptera,Vespertilionidae,0.8129133566428556,0.8265308760783776,0.8264471984910057,0.18350166451507985,0.475483996291946,1.192941718687532,1.3257387018425943,1.325977239032928,0.18371574023207585,0.964597099228707,1.6852373538291507,6.707039685703222,6.705747532892536,2.988711511211027,15.593432285396018,21.170869827992266,21.18250116834498,9.217159422461501,48.443705336629485
Glauconycteris_curryae,Chiroptera,Vespertilionidae,0.8061799739838872,0.8217628953286651,0.8204069393167507,0.1835281973359514,0.44900704750218984,1.1705887231277117,1.3223448328323588,1.320242014088909,0.1838951295538749,0.9632582068070974,1.6817309140531704,6.633807963303534,6.613128160964275,2.811946460815341,14.81114805084379,21.00607118266776,20.904607323687813,9.18878747172574,48.05415158929622
