(Intercept),log10BM,MR.typeFMR,log10BM:MR.typeFMR,random.effect,tree,chain
0.3223681803501677,0.7198706644121557,0.5995329727738863,-0.048336896012187935,-0.09688967786411266,13,1
0.03715999057476438,0.7335349030181533,0.6028354171430692,-0.04739316750783473,0.15565678159414506,13,2
-0.03465790187692619,0.7352800715598278,0.6220943808439188,-0.06018618003872689,0.22724332366034938,13,3
-0.04487163855083054,0.7468248039804166,0.5811931586213177,-0.03860330834868364,0.1998748393774281,15,1
-0.21038958172721323,0.7311425681436958,0.6170781666878611,-0.050714357290416956,0.4151387590870315,15,2
-0.0963581471296493,0.7338966865936527,0.5769107972882921,-0.037594271590933204,0.2807415507796935,15,3
-0.26214111240096827,0.7419005080591887,0.6329415037289436,-0.05459656161838211,0.43759110877946483,19,1
-0.25139049808785785,0.7457894074032083,0.6041129236473353,-0.04879781434283359,0.43273532402821724,19,2
0.14789955617743544,0.7322737412214337,0.6139465078813373,-0.0526612783287419,0.06020362554812389,19,3
0.33477398625109345,0.7258819509265777,0.642513466096716,-0.053061626093040104,-0.12101387921389213,22,1
-0.019236149528296664,0.7411782920898986,0.6026288312714314,-0.04499621078139171,0.20521106873829767,22,2
0.12927313141699415,0.7416934822249459,0.5948111669131322,-0.046465145132970065,0.043229690814209056,22,3
0.024893942165363114,0.7658923408926057,0.5836369593998825,-0.040023961642873473,0.08876705791277831,12,1
0.15556916104833363,0.7390780004716362,0.5968746751350409,-0.048481232195626944,0.02974628135197318,12,2
-0.06171616287610959,0.7447474948276067,0.6209506072846125,-0.05147433583624661,0.23837176364398122,12,3
0.03685951916850172,0.730872439511586,0.5684618196391966,-0.043975786240480375,0.1632185220642427,10,1
0.10233084291394334,0.7268143549154047,0.6205935430480167,-0.05108691648683816,0.1139925510313355,10,2
0.17262114555342123,0.7443617453973275,0.5988534941279795,-0.04453099670354277,-0.00438703892419394,10,3
0.1843899689556565,0.7419654152181465,0.592195070872549,-0.0418214708333835,-0.009673083416340546,7,1
-0.28921669381088577,0.751261458353838,0.5791467538801953,-0.04311921009502839,0.4419725658166355,7,2
-0.027542721130885184,0.7410226437204983,0.6119138401409145,-0.04855547479746747,0.2033192281746662,7,3
0.07944663189118728,0.7442139009499442,0.6002194235006755,-0.04369795286402223,0.08331411108123908,24,1
0.22044743357400876,0.7391224114107899,0.5707828309023171,-0.044083342552767135,-0.04256691679092305,24,2
0.051005374451051466,0.7395346389093902,0.5962921903992537,-0.044134704512543976,0.12436597266803054,24,3
0.26672772932215594,0.7254513781808782,0.6013656130235177,-0.05002948435139842,-0.03705041059938213,5,1
0.0022593066896661185,0.7346568033754011,0.6172147777106147,-0.05052613257430494,0.18600738938785466,5,2
0.05749539591852226,0.7343773249885999,0.5711014993721619,-0.04371977702976437,0.13862401676819072,5,3
0.011757217995182145,0.7440259331924608,0.5973143336013891,-0.05303088516666321,0.15627039016561575,28,1
0.21035405559814535,0.7281441893501324,0.5901521767118538,-0.04361594132205937,0.0039050578032509956,28,2
-0.15725211007884354,0.732756093791977,0.610321460684645,-0.05397124886258098,0.35119825372718216,28,3
0.13487374391115736,0.7378215224161977,0.6198501962935552,-0.0504487412981689,0.05342705568283862,26,1
-0.11208303931925911,0.7483229972713161,0.5855368853444816,-0.0431746432223008,0.2777012743465699,26,2
0.13775212984182872,0.7206291844049701,0.6258657071448397,-0.05458419697242789,0.09051287485994257,26,3
0.14158928586402908,0.7338296593661653,0.5727013374562375,-0.03983572553261183,0.03550814814242723,2,1
-0.00944766654720297,0.7550732755553327,0.6063661583102657,-0.050274172113859095,0.16669688462799606,2,2
0.043501913591171615,0.7198767216177657,0.585999141796492,-0.04471582615224179,0.18159070543022304,2,3
-0.4473225854608245,0.7398425473074894,0.5827752048498951,-0.04135508109538932,0.6180828030928724,16,1
0.21015413970599184,0.7333370137857855,0.5992059259062898,-0.04520092814345844,-0.019296654530338943,16,2
